sourcename,nimean,nilow,niup,ejmean,ejlow,ejup,radmean,radlow,radup,ekmean,eklow,ekup,etmean,etlow,etup,velmean,vellow,velup,peakr,peakrhost,volumefac
ZTF21abrluay,0.1196,0.008400000000000005,0.013400000000000009,14.832,2.030000000000001,1.443999999999999,349.7197067701596,12870000000000.0,8260000000000.0,8.488e+51,1.848e+51,1.0319999999999994e+51,1.262e+51,3.307e+50,1.6110000000000002e+51,9765.0,685.0,325.0,-17.01,-17.01,3.3750000000000024e+21
ZTF22abfxkdm,0.02086,0.002919999999999999,0.0025899999999999986,17.248,0.6680000000000028,1.0359999999999978,237.02745436251257,1200000000000.0,2320000000000.0,4.642e+51,2.270000000000001e+50,3.3100000000000015e+50,1.746e+51,1.43e+50,1.3299999999999985e+50,6720.0,140.0,185.0,-16.57,-16.57,3.3750000000000024e+21
ZTF23aasrcyv,0.005634,0.004188,0.05645999999999994,16.505,6.270999999999999,0.9239999999999995,418.85870346413685,13160000000000.0,30780000000000.0,3.159e+51,1.6510000000000002e+51,4.350000000000002e+50,1.17e+51,4.0389999999999996e+50,9.110000000000002e+50,5672.0,755.0,280.0,-16.78,-16.78,3.3750000000000024e+21
ZTF22abkhrkd,0.03523,0.013449999999999997,0.02658,13.916,5.523,3.1709999999999994,413.25283886732785,19192000000000.0,22690000000000.0,2.92e+51,1.9816199999999996e+51,9.359999999999999e+50,4.432e+50,2.0199999999999998e+50,7.778000000000001e+50,5899.0,1439.0,336.0,-16.02,-16.02,3.3750000000000024e+21
ZTF21aaagypx,0.09118,0.004519999999999996,0.008239999999999997,24.652,2.7600000000000016,0.33699999999999974,720.425470748886,3910000000000.0,3390000000000.0,6.328e+51,4.520000000000002e+50,3.1400000000000014e+50,1.883e+51,1.4499999999999996e+50,1.3400000000000016e+50,6514.0,37.0,525.8399999999964,-17.43,-17.43,3.3750000000000024e+21
ZTF18aawpwlf,0.07228,0.004369999999999999,0.003970000000000001,6.321,0.42799999999999994,0.5550000000000006,207.27324996406497,2030000000000.0,3160000000000.0,2.631e+51,2.7099999999999994e+50,2.86e+50,1.957e+51,4.550000000000002e+50,3.4299999999999993e+50,8362.0,381.0,299.0,-17.21,-17.63,3.3750000000000024e+21
ZTF22aafsqud,0.02387,0.013389999999999999,0.01642,12.804,1.7070000000000007,1.5280000000000005,286.33031479085815,7300000000000.0,5610000000000.0,3.966e+51,7.040000000000002e+50,6.309999999999999e+50,1.83e+51,5.110000000000001e+50,5.419999999999999e+50,7181.0,308.0,257.0,-17.0,-17.0,3.3750000000000024e+21
ZTF21acafqtj,0.06523,0.006409999999999999,0.00248000000000001,14.225,0.565999999999999,0.9399999999999995,884.576685352882,8140000000000.0,4490000000000.0,5.81e+51,5.660000000000001e+50,2.7200000000000025e+50,6.598e+50,3.850000000000003e+49,9.86e+49,8273.0,626.0,200.0,-17.11,-17.11,3.3750000000000024e+21
ZTF21acpqqgu,0.01887,0.0006300000000000021,0.0015999999999999973,13.887,0.45199999999999996,0.21499999999999986,454.5062526951272,1050000000000.0,1310000000000.0,3.494e+51,1.5199999999999983e+50,4.799999999999977e+49,8.491e+50,3.719999999999997e+49,2.7499999999999987e+49,6498.0,156.0,81.0,-16.45,-16.45,3.3750000000000024e+21
ZTF19abqrhvt,0.1079,0.0039000000000000007,0.0040000000000000036,10.634,0.4399999999999995,0.37299999999999933,101.9404915912031,492000000000.0,324000000000.0,8.165e+51,3.57000000000001e+50,3.609999999999996e+50,8.829e+51,4.300000000000006e+50,5.879999999999997e+50,11340.0,360.0,240.0,-18.09,-18.09,3.3750000000000024e+21
ZTF21aaipypa,0.07362,0.020910000000000005,0.06968,20.702,5.899760000000001,1.1019999999999968,707.3451200229985,7220000000000.0,13420000000000.0,9.411e+51,4.5650000000000004e+51,5.759999999999999e+50,3.322e+51,6.489999999999999e+50,1.1320000000000002e+51,8653.0,1504.0,271.0,-18.34,-18.34,3.3750000000000024e+21
ZTF20acuhren,0.02271,0.01883,0.0027399999999999994,8.397,0.2569999999999997,1.1489999999999991,204.54218772459393,2690000000000.0,2260000000000.0,8.686e+50,3.450000000000002e+49,2.200000000000009e+49,3.442e+50,8.979999999999999e+49,1.915e+50,4143.0,240.0,88.0,-15.33,-15.33,1.5776112696993372e+21
ZTF24aaucrua,0.04198,0.004130000000000002,0.0024299999999999947,8.894,0.593,1.1790000000000003,182.83742992669255,2898000000000.0,6740000000000.0,1.401e+51,1.4100000000000003e+50,2.710000000000001e+50,4.269e+50,1.289e+50,1.4384799999999814e+50,5160.0,182.0,199.0,-15.76,-15.76,3.3750000000000024e+21
ZTF22aapargp,0.03843,0.017679999999999998,0.017780000000000004,20.285,2.7989999999999995,2.7349999999999994,337.21431651573954,12860000000000.0,19370000000000.0,8.663e+51,1.4350000000000002e+51,9.040000000000005e+50,2.72e+51,1.1719999999999998e+51,3.217e+51,8428.0,734.0,639.0,-17.25,-17.25,3.3750000000000024e+21
ZTF23aaqknaw,0.05778,0.004929999999999997,0.004830000000000001,21.838,2.396000000000001,0.3269999999999982,346.41368405922094,4030000000000.0,1980000000000.0,9.855e+51,1.5060000000000005e+51,7.999999999999984e+49,7.797e+51,1.0689999999999997e+51,1.0450000000000002e+51,8712.0,599.0,26.0,-16.64,-17.43,3.3750000000000024e+21
ZTF22abhsxph,0.06106,0.0036700000000000066,0.0032900000000000013,16.566,1.2961199999999984,1.0809999999999995,157.46729912318528,4219000000000.0,3075000000000.0,5.399e+51,5.120000000000004e+50,5.459999999999998e+50,3.88e+51,8.480000000000002e+50,2.195e+51,7389.0,315.0,302.0,-17.01,-17.01,3.3750000000000024e+21
ZTF22abzqwmp,0.008706,0.005578,0.0013039999999999996,11.716,1.282,0.7080000000000002,1048.1529394854103,22176800000000.0,5980000000000.0,3.045e+51,6.490000000000002e+50,2.3499999999999995e+50,3.841e+50,1.9700000000000007e+49,1.5679999999999999e+50,6600.0,667.0,154.0,-16.84,-16.84,3.3750000000000024e+21
ZTF24aabsmvc,0.019354999999999997,0.008444999999999998,0.016835000000000003,19.024,3.4160000000000004,1.6879999999999988,159.98275118585596,2294000000000.0,2980000000000.0,4.748e+51,9.98e+50,4.549999999999998e+50,2.002e+51,8.29e+50,6.560000000000001e+50,6451.0,170.0,135.0,-16.15,-16.15,3.3750000000000024e+21
ZTF21aantsla,0.05517,0.006859999999999998,0.004910000000000005,11.631,0.8810000000000002,1.3290000000000006,442.7195630300417,5390000000000.0,7590000000000.0,3.157e+51,2.7199999999999992e+50,4.730000000000002e+50,5.371e+50,9.589999999999996e+49,1.1010000000000003e+50,6765.0,176.0,215.0,-16.44,-16.44,3.3750000000000024e+21
ZTF19aclobbu,0.218,0.213359,0.022999999999999993,16.351,2.2109999999999985,3.901,89.13324708926261,1275000000000.0,6249000000000.0,6.14e+51,6.0085e+51,2.0509999999999994e+51,7.377e+51,1.5350000000000003e+51,1.3149999999999998e+51,8377.0,7343.0,600.0,-17.63,-17.63,3.3750000000000024e+21
