Target,ZAMS_16,ZAMS_50,ZAMS_84,Ni_mass_16,Ni_mass_50,Ni_mass_84,Radius_16,Radius_50,Radius_84,Beta_16,Beta_50,Beta_84,Energy_16,Energy_50,Energy_84,Mrate_16,Mrate_50,Mrate_84,peakr,peakrhost,volumefac
ZTF22abkhrkd,9.858165298411627,10.24380858001818,10.713297168342226,0.013508091789433314,0.014447827763371725,0.02377195335285296,9975.274831331872,11420.89143622478,13445.74530983136,3.2818915414836907,4.020021715278111,4.251201366744904,2.916445307396433,3.0821872891965745,3.1369062583702574,3.2738620293580336,3.4804365028741207,3.6563014074990776,-16.02,-16.02,63095734448.01917
ZTF22abtjefa,10.385892418292366,11.03453357228147,11.644443588148711,0.010641702008717495,0.013832615163195837,0.02465176216605217,4253.877255198584,5521.279845886748,6907.210548557126,1.8797619640320524,2.4502975428945297,2.677930062728977,1.2891820684178688,1.5238278709644697,5.395327900247807,3.1409572998869146,3.685322268125551,4.039637059448044,-15.06,-15.06,46558609352.296005
ZTF19abqrhvt,10.924719204870954,11.691581918868069,12.643368052020605,0.03405371679902079,0.0367197045322691,0.054104278916518755,6662.955654470058,11325.681800023753,13840.02606049433,2.6748477020187478,3.747353144553939,4.8858947588863835,9.866559064572625,11.818548595168396,17.98953738656369,1.842679742826499,2.0183278979269494,3.3669506243200265,-18.09,-18.09,63095734448.01917
ZTF19acewuwn,12.352928942676485,12.556045739842581,14.5268689062389,0.05479254351516089,0.056494993931542996,0.0649156865945403,5613.727597289881,9360.1815628107,10322.037630025505,0.7274933748357824,0.9288819394202725,1.0531527276300432,1.4822815209128308,1.6372029480403374,2.231746703436243,2.0,2.9175467295418818,3.0531191071237305,-16.96,-16.96,63095734448.01917
ZTF21aaqugxm,14.44736293793156,14.819667926674919,16.46403582425175,0.02374408571456763,0.02904488985917268,0.04975616269885462,9443.218182285444,11740.652643135461,13101.577380545328,0.7323310171862357,0.8484136935443862,2.7135274337697557,23.04156781583856,24.16209815411881,25.416601714354275,2.8916606886298646,3.0739920318703793,3.2768351432721743,-18.12,-18.12,63095734448.01917
ZTF24aaasazz,10.105686929454157,10.46730928171821,11.099114409284374,0.029615297854744572,0.033220430924805824,0.04250462605232766,7087.423820801382,7918.413475091619,11042.376107789018,0.5867741533799972,1.1165112427429835,2.692537849413929,2.2449386534113733,2.728825263522595,3.489971972281541,2.1851830572835045,2.4706379065012025,3.2818507325175084,-16.03,-16.03,63095734448.01917
ZTF20abyylgi,12.435125104128625,13.381518212304698,15.265336718118945,0.09979805358947141,0.1532966001973291,0.17126930675342994,8768.55320848264,11450.899158699136,12683.949834686622,3.4230098275100684,4.369547775693934,4.885365527911203,13.798498761386108,17.37503967745076,31.922778337169095,1.3167430101078719,1.6733259405420051,4.0940528327602825,-18.46,-18.46,63095734448.01917
ZTF24aagupsf,11.578463277076587,12.032909932129877,12.588731106106717,0.03832568870655933,0.04101262509242139,0.04692956470666944,2211.2529196166124,4850.3968032470175,7129.96270540993,2.041224378639125,4.254479636603239,4.804667794602559,8.304397765031498,9.155580616733639,10.431580082099472,2.2924377572805783,4.385875206668148,4.6963974440057985,-17.47,-17.47,63095734448.01917
ZTF21aanzcuj,12.723452409973163,13.07757568922298,13.378109135943024,0.02625879130148866,0.03425687878288685,0.0570068854786476,4541.652806123102,6672.554942674712,9277.370856308173,3.4542701039090264,3.958139099382308,4.452189249716522,3.53000221806434,5.307030276842279,6.549999898425046,2.4145017782242495,3.0235265664231066,3.9892521513910886,-16.69,-16.69,63095734448.01917
ZTF20acveadu,9.936160594479247,10.307805225282616,10.586238621792424,0.0017363270285954207,0.00472726734482819,0.030055020627508956,5916.455352212751,8132.457964429919,11507.881074821495,2.5573987324265834,3.4193814808726444,4.055656279307385,3.9970131080847056,4.144234446676469,6.552706273781717,3.4277981626986564,3.955308366015939,4.235216030930869,-16.4,-16.58,63095734448.01917
