oid,mode,shell_thickness,phase_days,mjd,template_tag,tdust,tau,scale,chi2,dof,chi2_red,npz_path,folder,n_ul_active,tstar_dummy
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,500.0,4.0,1.5655757349522436e-12,0.3250825419847795,3,0.1083608473282598,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_500_tau_4_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td500_tau4_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,400.0,4.0,1.7124959677001633e-12,0.941122546121898,3,0.3137075153739659,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_400_tau_4_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td400_tau4_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,700.0,3.0,1.1590307427257196e-12,1.568435998062796,3,0.5228119993542654,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_700_tau_3_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td700_tau3_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,800.0,3.0,1.0006862703642966e-12,2.171532904230083,3,0.7238443014100276,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_800_tau_3_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td800_tau3_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,300.0,4.0,1.7590086967712122e-12,2.34733226341034,3,0.7824440878034467,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_300_tau_4_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td300_tau4_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,600.0,4.0,1.3335403844253368e-12,2.7507850602748025,3,0.9169283534249342,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_600_tau_4_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td600_tau4_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,200.0,4.0,1.7633183604513576e-12,2.7812065282979423,3,0.9270688427659808,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_200_tau_4_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td200_tau4_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,50.0,4.0,1.7635218369954434e-12,2.7954053218460486,3,0.9318017739486828,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_50_tau_4_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td50_tau4_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,100.0,4.0,1.7635218369954434e-12,2.7954053218460486,3,0.9318017739486828,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_100_tau_4_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td100_tau4_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,600.0,3.0,1.3251145278866145e-12,3.91615089224096,3,1.3053836307469866,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_600_tau_3_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td600_tau3_000_thick5_0,0,6000.0
